Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Steven Alzate,2018-2019,2018-11-17,League Two,Matchweek 18,Home,L 0–4,Swindon Town,Carlisle United
Steven Alzate,2018-2019,2018-11-24,League Two,Matchweek 19,Away,W 1–0,Swindon Town,Port Vale
Steven Alzate,2018-2019,2018-11-27,League Two,Matchweek 20,Home,W 3–2,Swindon Town,Stevenage
Steven Alzate,2018-2019,2018-12-02,FA Cup,Second round,Home,L 0–1,Swindon Town,Woking
Steven Alzate,2018-2019,2018-12-15,League Two,Matchweek 22,Away,L 1–2,Swindon Town,Grimsby Town
Steven Alzate,2018-2019,2018-12-22,League Two,Matchweek 23,Home,D 0–0,Swindon Town,Cheltenham
Steven Alzate,2018-2019,2019-04-15,PL2 — Div. 1,Matchweek 21,Away,L 0–1,Brighton,Everton
Miguel Almirón,2018-2019,2018-11-04,MLS,Conference Semifinals,Away,W 1–0,Atlanta,NYCFC
Miguel Almirón,2018-2019,2018-11-11,MLS,Conference Semifinals,Home,W 3–1,Atlanta,NYCFC
Miguel Almirón,2018-2019,2018-11-20,Friendlies (M),Friendlies (M),Away,D 1–1,Paraguay,South Africa
Miguel Almirón,2018-2019,2018-11-25,MLS,Conference Finals,Home,W 3–0,Atlanta,NY Red Bulls
Miguel Almirón,2018-2019,2018-11-29,MLS,Conference Finals,Away,L 0–1,Atlanta,NY Red Bulls
Miguel Almirón,2018-2019,2018-12-08,MLS,MLS Cup 2018,Home,W 2–0,Atlanta,Portland
Miguel Almirón,2018-2019,2019-02-11,Premier League,Matchweek 26,Away,D 1–1,Newcastle Utd,Wolves
Miguel Almirón,2018-2019,2019-02-23,Premier League,Matchweek 27,Home,W 2–0,Newcastle Utd,Huddersfield
Miguel Almirón,2018-2019,2019-02-26,Premier League,Matchweek 28,Home,W 2–0,Newcastle Utd,Burnley
Miguel Almirón,2018-2019,2019-03-02,Premier League,Matchweek 29,Away,L 0–2,Newcastle Utd,West Ham
Miguel Almirón,2018-2019,2019-03-09,Premier League,Matchweek 30,Home,W 3–2,Newcastle Utd,Everton
Miguel Almirón,2018-2019,2019-03-16,Premier League,Matchweek 31,Away,D 2–2,Newcastle Utd,Bournemouth
Marcos Alonso,2017-2018,2018-04-08,Premier League,Matchweek 33,Home,D 1–1,Chelsea,West Ham
Marcos Alonso,2017-2018,2018-04-14,Premier League,Matchweek 34,Away,W 3–2,Chelsea,Southampton
Marcos Alonso,2017-2018,2018-05-06,Premier League,Matchweek 37,Home,W 1–0,Chelsea,Liverpool
Marcos Alonso,2017-2018,2018-05-09,Premier League,Matchweek 35,Home,D 1–1,Chelsea,Huddersfield
Marcos Alonso,2017-2018,2018-05-19,FA Cup,Final,Home,W 1–0,Chelsea,Manchester Utd
Ross Barkley,2018-2019,2018-11-08,Europa Lg,Group stage,Away,W 1–0,Chelsea,BATE Borisov
Ross Barkley,2018-2019,2018-11-11,Premier League,Matchweek 12,Home,D 0–0,Chelsea,Everton
Ross Barkley,2018-2019,2018-11-18,UEFA Nations League,Group stage,Home,W 2–1,England,Croatia
Ross Barkley,2018-2019,2018-11-24,Premier League,Matchweek 13,Away,L 1–3,Chelsea,Tottenham
Ross Barkley,2018-2019,2018-11-29,Europa Lg,Group stage,Home,W 4–0,Chelsea,PAOK
Ross Barkley,2018-2019,2018-12-08,Premier League,Matchweek 16,Home,W 2–0,Chelsea,Manchester City
