Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Patrick van Aanholt,2019-2020,2019-08-10,Premier League,Matchweek 1,Home,D 0–0,Crystal Palace,Everton
Patrick van Aanholt,2019-2020,2019-08-18,Premier League,Matchweek 2,Away,L 0–1,Crystal Palace,Sheffield Utd
Patrick van Aanholt,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd
Patrick van Aanholt,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa
Patrick van Aanholt,2019-2020,2019-09-14,Premier League,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham
Patrick van Aanholt,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves
Patrick van Aanholt,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–0,Crystal Palace,Norwich City
Patrick van Aanholt,2019-2020,2019-10-05,Premier League,Matchweek 8,Away,W 2–1,Crystal Palace,West Ham
Patrick van Aanholt,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,L 0–2,Crystal Palace,Manchester City
Patrick van Aanholt,2019-2020,2019-10-27,Premier League,Matchweek 10,Away,D 2–2,Crystal Palace,Arsenal
Patrick van Aanholt,2019-2020,2019-11-03,Premier League,Matchweek 11,Home,L 0–2,Crystal Palace,Leicester City
Patrick van Aanholt,2019-2020,2019-11-09,Premier League,Matchweek 12,Away,L 0–2,Crystal Palace,Chelsea
Patrick van Aanholt,2019-2020,2019-11-19,Euro Qualifying,Group stage,Home,W 5–0,Netherlands,Estonia
Kepa Arrizabalaga,2019-2020,2019-08-11,Premier League,Matchweek 1,Away,L 0–4,Chelsea,Manchester Utd
Patrick van Aanholt,2019-2020,2019-11-23,Premier League,Matchweek 13,Home,L 1–2,Crystal Palace,Liverpool
Patrick van Aanholt,2019-2020,2019-11-30,Premier League,Matchweek 14,Away,W 2–0,Crystal Palace,Burnley
Patrick van Aanholt,2019-2020,2019-12-03,Premier League,Matchweek 15,Home,W 1–0,Crystal Palace,Bournemouth
Patrick van Aanholt,2019-2020,2019-12-21,Premier League,Matchweek 18,Away,L 0–1,Crystal Palace,Newcastle Utd
Patrick van Aanholt,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,W 2–1,Crystal Palace,West Ham
Patrick van Aanholt,2019-2020,2020-02-01,Premier League,Matchweek 25,Home,L 0–1,Crystal Palace,Sheffield Utd
Patrick van Aanholt,2019-2020,2020-02-08,Premier League,Matchweek 26,Away,L 1–3,Crystal Palace,Everton
Patrick van Aanholt,2019-2020,2020-02-22,Premier League,Matchweek 27,Home,W 1–0,Crystal Palace,Newcastle Utd
Patrick van Aanholt,2019-2020,2020-02-29,Premier League,Matchweek 28,Away,W 1–0,Crystal Palace,Brighton
Patrick van Aanholt,2019-2020,2020-03-07,Premier League,Matchweek 29,Home,W 1–0,Crystal Palace,Watford
Patrick van Aanholt,2019-2020,2020-06-20,Premier League,Matchweek 30,Away,W 2–0,Crystal Palace,Bournemouth
Kepa Arrizabalaga,2019-2020,2019-08-14,Super Cup,UEFA Super Cup,Away,L 2 ,Chelsea,Liverpool
Kepa Arrizabalaga,2019-2020,2019-08-18,Premier League,Matchweek 2,Home,D 1–1,Chelsea,Leicester City
Kepa Arrizabalaga,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 3–2,Chelsea,Norwich City
Kepa Arrizabalaga,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,D 2–2,Chelsea,Sheffield Utd
Kepa Arrizabalaga,2019-2020,2019-09-05,Euro Qualifying,Group stage,Away,W 2–1,Spain,Romania
Kepa Arrizabalaga,2019-2020,2019-09-14,Premier League,Matchweek 5,Away,W 5–2,Chelsea,Wolves
Kepa Arrizabalaga,2019-2020,2019-09-17,Champions Lg,Group stage,Home,L 0–1,Chelsea,Valencia
Kepa Arrizabalaga,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,L 1–2,Chelsea,Liverpool
Kepa Arrizabalaga,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–0,Chelsea,Brighton
Kepa Arrizabalaga,2019-2020,2019-10-02,Champions Lg,Group stage,Away,W 2–1,Chelsea,Lille
Kepa Arrizabalaga,2019-2020,2019-10-06,Premier League,Matchweek 8,Away,W 4–1,Chelsea,Southampton
Kepa Arrizabalaga,2019-2020,2019-10-12,Euro Qualifying,Group stage,Away,D 1–1,Spain,Norway
Kepa Arrizabalaga,2019-2020,2019-10-15,Euro Qualifying,Group stage,Away,D 1–1,Spain,Sweden
Kepa Arrizabalaga,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd
Kepa Arrizabalaga,2019-2020,2019-10-23,Champions Lg,Group stage,Away,W 1–0,Chelsea,Ajax
Kepa Arrizabalaga,2019-2020,2019-10-26,Premier League,Matchweek 10,Away,W 4–2,Chelsea,Burnley
Kepa Arrizabalaga,2019-2020,2019-11-02,Premier League,Matchweek 11,Away,W 2–1,Chelsea,Watford
Kepa Arrizabalaga,2019-2020,2019-11-05,Champions Lg,Group stage,Home,D 4–4,Chelsea,Ajax
Kepa Arrizabalaga,2019-2020,2019-11-09,Premier League,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace
Kepa Arrizabalaga,2019-2020,2019-11-18,Euro Qualifying,Group stage,Home,W 5–0,Spain,Romania
Kepa Arrizabalaga,2019-2020,2019-11-23,Premier League,Matchweek 13,Away,L 1–2,Chelsea,Manchester City
Kepa Arrizabalaga,2019-2020,2019-11-27,Champions Lg,Group stage,Away,D 2–2,Chelsea,Valencia
Kepa Arrizabalaga,2019-2020,2019-11-30,Premier League,Matchweek 14,Home,L 0–1,Chelsea,West Ham
Kepa Arrizabalaga,2019-2020,2019-12-04,Premier League,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa
Kepa Arrizabalaga,2019-2020,2019-12-07,Premier League,Matchweek 16,Away,L 1–3,Chelsea,Everton
Kepa Arrizabalaga,2019-2020,2019-12-10,Champions Lg,Group stage,Home,W 2–1,Chelsea,Lille
Kepa Arrizabalaga,2019-2020,2019-12-14,Premier League,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth
Kepa Arrizabalaga,2019-2020,2019-12-22,Premier League,Matchweek 18,Away,W 2–0,Chelsea,Tottenham
Kepa Arrizabalaga,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,L 0–2,Chelsea,Southampton
Kepa Arrizabalaga,2019-2020,2019-12-29,Premier League,Matchweek 20,Away,W 2–1,Chelsea,Arsenal
Kepa Arrizabalaga,2019-2020,2020-01-01,Premier League,Matchweek 21,Away,D 1–1,Chelsea,Brighton
Kepa Arrizabalaga,2019-2020,2020-01-11,Premier League,Matchweek 22,Home,W 3–0,Chelsea,Burnley
Kepa Arrizabalaga,2019-2020,2020-01-18,Premier League,Matchweek 23,Away,L 0–1,Chelsea,Newcastle Utd
Kepa Arrizabalaga,2019-2020,2020-01-21,Premier League,Matchweek 24,Home,D 2–2,Chelsea,Arsenal
Kepa Arrizabalaga,2019-2020,2020-03-03,FA Cup,Fifth round,Home,W 2–0,Chelsea,Liverpool
Kepa Arrizabalaga,2019-2020,2020-03-08,Premier League,Matchweek 29,Home,W 4–0,Chelsea,Everton
Jordan Ayew,2018-2019,2018-09-01,Premier League,Matchweek 4,Home,L 0–2,Crystal Palace,Southampton
Jordan Ayew,2019-2020,2019-07-02,Africa Cup of Nations,Group stage,Neutral,W 2–0,Ghana,Guinea-Bissau
Jordan Ayew,2018-2019,2018-09-15,Premier League,Matchweek 5,Away,W 1–0,Crystal Palace,Huddersfield
Jordan Ayew,2018-2019,2018-09-22,Premier League,Matchweek 6,Home,D 0–0,Crystal Palace,Newcastle Utd
Jordan Ayew,2018-2019,2018-09-25,EFL Cup,Third round,Away,W 3–0,Crystal Palace,West Brom
Jordan Ayew,2018-2019,2018-10-01,Premier League,Matchweek 7,Away,L 1–2,Crystal Palace,Bournemouth
Jordan Ayew,2018-2019,2018-10-06,Premier League,Matchweek 8,Home,L 0–1,Crystal Palace,Wolves
Jordan Ayew,2018-2019,2018-10-28,Premier League,Matchweek 10,Home,D 2–2,Crystal Palace,Arsenal
Jordan Ayew,2018-2019,2018-10-31,EFL Cup,Fourth round,Away,L 0–1,Crystal Palace,Middlesbrough
Jordan Ayew,2018-2019,2018-11-04,Premier League,Matchweek 11,Away,L 1–3,Crystal Palace,Chelsea
Jordan Ayew,2018-2019,2018-11-10,Premier League,Matchweek 12,Home,L 0–1,Crystal Palace,Tottenham
Jordan Ayew,2018-2019,2018-11-18,Africa Cup of Nations qualification,Group stage,Away,W 2–0,Ghana,Ethiopia
Jordan Ayew,2018-2019,2018-11-24,Premier League,Matchweek 13,Away,D 0–0,Crystal Palace,Manchester Utd
Jordan Ayew,2018-2019,2018-12-08,Premier League,Matchweek 16,Away,L 2–3,Crystal Palace,West Ham
Jordan Ayew,2019-2020,2019-07-08,Africa Cup of Nations,Round of 16,Neutral,L 1 ,Ghana,Tunisia
Jordan Ayew,2019-2020,2019-08-10,Premier League,Matchweek 1,Home,D 0–0,Crystal Palace,Everton
Jordan Ayew,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd
Jordan Ayew,2019-2020,2019-08-27,EFL Cup,Second round,Home,L 0 ,Crystal Palace,Colchester Utd
Jordan Ayew,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa
Jordan Ayew,2019-2020,2019-09-14,Premier League,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham
Jordan Ayew,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves
Jordan Ayew,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–0,Crystal Palace,Norwich City
Jordan Ayew,2019-2020,2019-10-05,Premier League,Matchweek 8,Away,W 2–1,Crystal Palace,West Ham
Jordan Ayew,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,L 0–2,Crystal Palace,Manchester City
Jordan Ayew,2019-2020,2019-10-27,Premier League,Matchweek 10,Away,D 2–2,Crystal Palace,Arsenal
César Azpilicueta,2017-2018,2017-08-06,Community Shield,FA Community Shield,Neutral,L 1 ,Chelsea,Arsenal
Felipe Anderson,2019-2020,2019-08-10,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City
Felipe Anderson,2018-2019,2018-08-12,Premier League,Matchweek 1,Away,L 0–4,West Ham,Liverpool
César Azpilicueta,2019-2020,2019-08-11,Premier League,Matchweek 1,Away,L 0–4,Chelsea,Manchester Utd
Felipe Anderson,2017-2018,2017-12-07,Europa Lg,Group stage,Away,L 2–3,Lazio,Zulte Waregem
Jordan Ayew,2018-2019,2018-12-15,Premier League,Matchweek 17,Home,W 1–0,Crystal Palace,Leicester City
Jordan Ayew,2018-2019,2018-12-22,Premier League,Matchweek 18,Away,W 3–2,Crystal Palace,Manchester City
Jordan Ayew,2018-2019,2019-01-02,Premier League,Matchweek 21,Away,W 2–0,Crystal Palace,Wolves
Jordan Ayew,2018-2019,2019-01-05,FA Cup,Third round,Home,W 1–0,Crystal Palace,Grimsby Town
Jordan Ayew,2018-2019,2019-01-12,Premier League,Matchweek 22,Home,L 1–2,Crystal Palace,Watford
Jordan Ayew,2018-2019,2019-01-19,Premier League,Matchweek 23,Away,L 3–4,Crystal Palace,Liverpool
Jordan Ayew,2018-2019,2019-01-27,FA Cup,Fourth round,Home,W 2–0,Crystal Palace,Tottenham
Jordan Ayew,2018-2019,2019-01-30,Premier League,Matchweek 24,Away,D 1–1,Crystal Palace,Southampton
Jordan Ayew,2018-2019,2019-02-02,Premier League,Matchweek 25,Home,W 2–0,Crystal Palace,Fulham
Jordan Ayew,2018-2019,2019-02-17,FA Cup,Fifth round,Away,W 2–0,Crystal Palace,Doncaster
Jordan Ayew,2018-2019,2019-02-23,Premier League,Matchweek 27,Away,W 4–1,Crystal Palace,Leicester City
Jordan Ayew,2018-2019,2019-03-23,Africa Cup of Nations qualification,Group stage,Home,W 1–0,Ghana,Kenya
Jordan Ayew,2019-2020,2019-11-03,Premier League,Matchweek 11,Home,L 0–2,Crystal Palace,Leicester City
Jordan Ayew,2019-2020,2019-11-09,Premier League,Matchweek 12,Away,L 0–2,Crystal Palace,Chelsea
Jordan Ayew,2019-2020,2019-11-14,Africa Cup of Nations qualification,Group stage,Home,W 2–0,Ghana,South Africa
Jordan Ayew,2019-2020,2019-11-18,Africa Cup of Nations qualification,Group stage,Away,W 1–0,Ghana,São Tomé and Príncipe
Jordan Ayew,2019-2020,2019-11-23,Premier League,Matchweek 13,Home,L 1–2,Crystal Palace,Liverpool
Jordan Ayew,2019-2020,2019-11-30,Premier League,Matchweek 14,Away,W 2–0,Crystal Palace,Burnley
Jordan Ayew,2019-2020,2019-12-03,Premier League,Matchweek 15,Home,W 1–0,Crystal Palace,Bournemouth
Jordan Ayew,2019-2020,2019-12-07,Premier League,Matchweek 16,Away,D 0–0,Crystal Palace,Watford
Jordan Ayew,2019-2020,2019-12-16,Premier League,Matchweek 17,Home,D 1–1,Crystal Palace,Brighton
Jordan Ayew,2019-2020,2019-12-21,Premier League,Matchweek 18,Away,L 0–1,Crystal Palace,Newcastle Utd
Jordan Ayew,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,W 2–1,Crystal Palace,West Ham
Jordan Ayew,2019-2020,2019-12-28,Premier League,Matchweek 20,Away,D 1–1,Crystal Palace,Southampton
Jordan Ayew,2019-2020,2020-01-01,Premier League,Matchweek 21,Away,D 1–1,Crystal Palace,Norwich City
Jordan Ayew,2019-2020,2020-01-05,FA Cup,Third round,Home,L 0–1,Crystal Palace,Derby County
César Azpilicueta,2017-2018,2017-08-12,Premier League,Matchweek 1,Home,L 2–3,Chelsea,Burnley
César Azpilicueta,2017-2018,2017-08-20,Premier League,Matchweek 2,Away,W 2–1,Chelsea,Tottenham
César Azpilicueta,2017-2018,2017-08-27,Premier League,Matchweek 3,Home,W 2–0,Chelsea,Everton
César Azpilicueta,2017-2018,2017-09-09,Premier League,Matchweek 4,Away,W 2–1,Chelsea,Leicester City
César Azpilicueta,2017-2018,2017-09-12,Champions Lg,Group stage,Home,W 6–0,Chelsea,Qarabağ FK
César Azpilicueta,2017-2018,2017-09-17,Premier League,Matchweek 5,Home,D 0–0,Chelsea,Arsenal
Felipe Anderson,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 3–1,West Ham,Watford
Felipe Anderson,2019-2020,2019-08-27,EFL Cup,Second round,Away,W 2–0,West Ham,Newport County
Felipe Anderson,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,W 2–0,West Ham,Norwich City
Felipe Anderson,2019-2020,2019-09-16,Premier League,Matchweek 5,Away,D 0–0,West Ham,Aston Villa
Felipe Anderson,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,W 2–0,West Ham,Manchester Utd
Felipe Anderson,2019-2020,2019-09-25,EFL Cup,Third round,Away,L 0–4,West Ham,Oxford United
Felipe Anderson,2019-2020,2019-09-28,Premier League,Matchweek 7,Away,D 2–2,West Ham,Bournemouth
Felipe Anderson,2019-2020,2019-10-05,Premier League,Matchweek 8,Home,L 1–2,West Ham,Crystal Palace
Felipe Anderson,2019-2020,2019-10-19,Premier League,Matchweek 9,Away,L 0–2,West Ham,Everton
Felipe Anderson,2019-2020,2019-10-26,Premier League,Matchweek 10,Home,D 1–1,West Ham,Sheffield Utd
Felipe Anderson,2019-2020,2019-11-02,Premier League,Matchweek 11,Home,L 2–3,West Ham,Newcastle Utd
Felipe Anderson,2019-2020,2019-11-09,Premier League,Matchweek 12,Away,L 0–3,West Ham,Burnley
Felipe Anderson,2019-2020,2019-11-23,Premier League,Matchweek 13,Home,L 2–3,West Ham,Tottenham
Felipe Anderson,2018-2019,2018-08-18,Premier League,Matchweek 2,Home,L 1–2,West Ham,Bournemouth
Felipe Anderson,2018-2019,2018-08-25,Premier League,Matchweek 3,Away,L 1–3,West Ham,Arsenal
Felipe Anderson,2018-2019,2018-08-28,EFL Cup,Second round,Away,W 3–1,West Ham,AFC Wimbledon
Felipe Anderson,2018-2019,2018-09-01,Premier League,Matchweek 4,Home,L 0–1,West Ham,Wolves
Felipe Anderson,2018-2019,2018-09-16,Premier League,Matchweek 5,Away,W 3–1,West Ham,Everton
Felipe Anderson,2018-2019,2018-09-23,Premier League,Matchweek 6,Home,D 0–0,West Ham,Chelsea
Felipe Anderson,2018-2019,2018-09-29,Premier League,Matchweek 7,Home,W 3–1,West Ham,Manchester Utd
Felipe Anderson,2018-2019,2018-10-05,Premier League,Matchweek 8,Away,L 0–1,West Ham,Brighton
Felipe Anderson,2018-2019,2018-10-20,Premier League,Matchweek 9,Home,L 0–1,West Ham,Tottenham
Felipe Anderson,2018-2019,2018-10-27,Premier League,Matchweek 10,Away,D 1–1,West Ham,Leicester City
Felipe Anderson,2018-2019,2018-10-31,EFL Cup,Fourth round,Home,L 1–3,West Ham,Tottenham
Felipe Anderson,2018-2019,2018-11-03,Premier League,Matchweek 11,Home,W 4–2,West Ham,Burnley
César Azpilicueta,2019-2020,2019-08-14,Super Cup,UEFA Super Cup,Away,L 2 ,Chelsea,Liverpool
César Azpilicueta,2019-2020,2019-08-18,Premier League,Matchweek 2,Home,D 1–1,Chelsea,Leicester City
César Azpilicueta,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 3–2,Chelsea,Norwich City
César Azpilicueta,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,D 2–2,Chelsea,Sheffield Utd
César Azpilicueta,2019-2020,2019-09-14,Premier League,Matchweek 5,Away,W 5–2,Chelsea,Wolves
César Azpilicueta,2019-2020,2019-09-17,Champions Lg,Group stage,Home,L 0–1,Chelsea,Valencia
César Azpilicueta,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,L 1–2,Chelsea,Liverpool
César Azpilicueta,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–0,Chelsea,Brighton
César Azpilicueta,2019-2020,2019-10-02,Champions Lg,Group stage,Away,W 2–1,Chelsea,Lille
César Azpilicueta,2019-2020,2019-10-06,Premier League,Matchweek 8,Away,W 4–1,Chelsea,Southampton
César Azpilicueta,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd
César Azpilicueta,2019-2020,2019-10-23,Champions Lg,Group stage,Away,W 1–0,Chelsea,Ajax
César Azpilicueta,2019-2020,2019-10-26,Premier League,Matchweek 10,Away,W 4–2,Chelsea,Burnley
Felipe Anderson,2017-2018,2017-12-11,Serie A,Matchweek 16,Home,L 1–3,Lazio,Torino
Felipe Anderson,2017-2018,2017-12-14,Coppa Italia,Round of 16,Home,W 4–1,Lazio,Cittadella
Felipe Anderson,2017-2018,2017-12-17,Serie A,Matchweek 17,Away,D 3–3,Lazio,Atalanta
Felipe Anderson,2017-2018,2017-12-23,Serie A,Matchweek 18,Home,W 4–0,Lazio,Crotone
Felipe Anderson,2017-2018,2017-12-26,Coppa Italia,Quarter-finals,Home,W 1–0,Lazio,Fiorentina
Felipe Anderson,2017-2018,2017-12-30,Serie A,Matchweek 19,Away,D 0–0,Lazio,Inter
Felipe Anderson,2017-2018,2018-01-06,Serie A,Matchweek 20,Away,W 5–2,Lazio,SPAL
Felipe Anderson,2017-2018,2018-01-21,Serie A,Matchweek 21,Home,W 5–1,Lazio,Chievo
Felipe Anderson,2017-2018,2018-01-24,Serie A,Matchweek 12,Home,W 3–0,Lazio,Udinese
Felipe Anderson,2017-2018,2018-01-28,Serie A,Matchweek 22,Away,L 1–2,Lazio,Milan
Felipe Anderson,2017-2018,2018-01-31,Coppa Italia,Semi-finals,Away,D 0–0,Lazio,Milan
Felipe Anderson,2017-2018,2018-02-05,Serie A,Matchweek 23,Home,L 1–2,Lazio,Genoa
Felipe Anderson,2017-2018,2018-02-15,Europa Lg,Round of 32,Neutral,L 0–1,Lazio,FCSB
Jordan Ayew,2017-2018,2017-08-12,Premier League,Matchweek 1,Away,D 0–0,Swansea City,Southampton
César Azpilicueta,2018-2019,2018-08-05,Community Shield,FA Community Shield,Neutral,L 0–2,Chelsea,Manchester City
Jordan Ayew,2018-2019,2019-03-26,Friendlies (M),Friendlies (M),Home,W 3–1,Ghana,Mauritania
Jordan Ayew,2018-2019,2019-04-21,Premier League,Matchweek 35,Away,W 3–2,Crystal Palace,Arsenal
Jordan Ayew,2018-2019,2019-05-04,Premier League,Matchweek 37,Away,W 3–2,Crystal Palace,Cardiff City
Jordan Ayew,2018-2019,2019-06-25,Africa Cup of Nations,Group stage,Neutral,D 2–2,Ghana,Benin
Jordan Ayew,2018-2019,2019-06-29,Africa Cup of Nations,Group stage,Neutral,D 0–0,Ghana,Cameroon
Florin Andone,2018-2019,2018-09-14,PL2 — Div. 1,Matchweek 5,Home,W 2–1,Brighton,West Ham
Serge Aurier,2018-2019,2018-08-11,Premier League,Matchweek 1,Away,W 2–1,Tottenham,Newcastle Utd
Jordan Ayew,2019-2020,2020-01-11,Premier League,Matchweek 22,Home,D 1–1,Crystal Palace,Arsenal
Jordan Ayew,2019-2020,2020-01-18,Premier League,Matchweek 23,Away,D 2–2,Crystal Palace,Manchester City
Jordan Ayew,2019-2020,2020-01-21,Premier League,Matchweek 24,Home,L 0–2,Crystal Palace,Southampton
Jordan Ayew,2019-2020,2020-02-01,Premier League,Matchweek 25,Home,L 0–1,Crystal Palace,Sheffield Utd
Jordan Ayew,2019-2020,2020-02-08,Premier League,Matchweek 26,Away,L 1–3,Crystal Palace,Everton
Jordan Ayew,2019-2020,2020-02-22,Premier League,Matchweek 27,Home,W 1–0,Crystal Palace,Newcastle Utd
Jordan Ayew,2019-2020,2020-02-29,Premier League,Matchweek 28,Away,W 1–0,Crystal Palace,Brighton
Jordan Ayew,2019-2020,2020-03-07,Premier League,Matchweek 29,Home,W 1–0,Crystal Palace,Watford
Jordan Ayew,2019-2020,2020-06-20,Premier League,Matchweek 30,Away,W 2–0,Crystal Palace,Bournemouth
Angeliño,2018-2019,2018-08-11,Dutch Eredivisie,Regular Season,Home,W 4–0,PSV Eindhoven,Utrecht
César Azpilicueta,2017-2018,2017-09-23,Premier League,Matchweek 6,Away,W 4–0,Chelsea,Stoke City
César Azpilicueta,2017-2018,2017-09-27,Champions Lg,Group stage,Away,W 2–1,Chelsea,Atlético Madrid
César Azpilicueta,2017-2018,2017-09-30,Premier League,Matchweek 7,Home,L 0–1,Chelsea,Manchester City
César Azpilicueta,2017-2018,2017-10-09,WCQ — UEFA (M),First round,Away,W 1–0,Spain,Israel
César Azpilicueta,2017-2018,2017-10-14,Premier League,Matchweek 8,Away,L 1–2,Chelsea,Crystal Palace
César Azpilicueta,2017-2018,2017-10-18,Champions Lg,Group stage,Home,D 3–3,Chelsea,Roma
César Azpilicueta,2017-2018,2017-10-21,Premier League,Matchweek 9,Home,W 4–2,Chelsea,Watford
César Azpilicueta,2017-2018,2017-10-28,Premier League,Matchweek 10,Away,W 1–0,Chelsea,Bournemouth
César Azpilicueta,2017-2018,2017-10-31,Champions Lg,Group stage,Away,L 0–3,Chelsea,Roma
César Azpilicueta,2017-2018,2017-11-05,Premier League,Matchweek 11,Home,W 1–0,Chelsea,Manchester Utd
César Azpilicueta,2017-2018,2017-11-18,Premier League,Matchweek 12,Away,W 4–0,Chelsea,West Brom
Felipe Anderson,2019-2020,2019-11-30,Premier League,Matchweek 14,Away,W 1–0,West Ham,Chelsea
Felipe Anderson,2019-2020,2019-12-04,Premier League,Matchweek 15,Away,L 0–2,West Ham,Wolves
Felipe Anderson,2019-2020,2019-12-09,Premier League,Matchweek 16,Home,L 1–3,West Ham,Arsenal
Felipe Anderson,2019-2020,2019-12-26,Premier League,Matchweek 19,Away,L 1–2,West Ham,Crystal Palace
Felipe Anderson,2019-2020,2019-12-28,Premier League,Matchweek 20,Home,L 1–2,West Ham,Leicester City
Felipe Anderson,2019-2020,2020-01-01,Premier League,Matchweek 21,Home,W 4–0,West Ham,Bournemouth
Felipe Anderson,2019-2020,2020-01-05,FA Cup,Third round,Away,W 2–0,West Ham,Gillingham
Felipe Anderson,2019-2020,2020-01-10,Premier League,Matchweek 22,Away,L 0–1,West Ham,Sheffield Utd
Felipe Anderson,2019-2020,2020-02-24,Premier League,Matchweek 27,Away,L 2–3,West Ham,Liverpool
Felipe Anderson,2019-2020,2020-02-29,Premier League,Matchweek 28,Home,W 3–1,West Ham,Southampton
Felipe Anderson,2019-2020,2020-03-07,Premier League,Matchweek 29,Away,L 0–1,West Ham,Arsenal
Florin Andone,2019-2020,2019-08-10,Premier League,Matchweek 1,Away,W 3–0,Brighton,Watford
Michail Antonio,2019-2020,2019-08-10,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City
Angeliño,2019-2020,2019-09-14,PL2 — Div. 1,Matchweek 5,Home,L 1–2,Manchester City,Wolves
Felipe Anderson,2018-2019,2018-11-10,Premier League,Matchweek 12,Away,D 1–1,West Ham,Huddersfield
Felipe Anderson,2018-2019,2018-11-24,Premier League,Matchweek 13,Home,L 0–4,West Ham,Manchester City
Felipe Anderson,2018-2019,2018-12-01,Premier League,Matchweek 14,Away,W 3–0,West Ham,Newcastle Utd
Felipe Anderson,2018-2019,2018-12-04,Premier League,Matchweek 15,Home,W 3–1,West Ham,Cardiff City
Felipe Anderson,2018-2019,2018-12-08,Premier League,Matchweek 16,Home,W 3–2,West Ham,Crystal Palace
Felipe Anderson,2018-2019,2018-12-15,Premier League,Matchweek 17,Away,W 2–0,West Ham,Fulham
Felipe Anderson,2018-2019,2018-12-22,Premier League,Matchweek 18,Home,L 0–2,West Ham,Watford
Felipe Anderson,2018-2019,2018-12-27,Premier League,Matchweek 19,Away,W 2–1,West Ham,Southampton
Felipe Anderson,2018-2019,2018-12-30,Premier League,Matchweek 20,Away,L 0–2,West Ham,Burnley
Felipe Anderson,2018-2019,2019-01-02,Premier League,Matchweek 21,Home,D 2–2,West Ham,Brighton
Felipe Anderson,2018-2019,2019-01-05,FA Cup,Third round,Home,W 2–0,West Ham,Birmingham City
Serge Aurier,2019-2020,2019-09-06,Friendlies (M),Friendlies (M),Neutral,L 1–2,Côte d'Ivoire,Benin
César Azpilicueta,2019-2020,2019-11-02,Premier League,Matchweek 11,Away,W 2–1,Chelsea,Watford
César Azpilicueta,2019-2020,2019-11-05,Champions Lg,Group stage,Home,D 4–4,Chelsea,Ajax
César Azpilicueta,2019-2020,2019-11-23,Premier League,Matchweek 13,Away,L 1–2,Chelsea,Manchester City
César Azpilicueta,2019-2020,2019-11-27,Champions Lg,Group stage,Away,D 2–2,Chelsea,Valencia
César Azpilicueta,2019-2020,2019-12-04,Premier League,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa
César Azpilicueta,2019-2020,2019-12-07,Premier League,Matchweek 16,Away,L 1–3,Chelsea,Everton
César Azpilicueta,2019-2020,2019-12-10,Champions Lg,Group stage,Home,W 2–1,Chelsea,Lille
César Azpilicueta,2019-2020,2019-12-14,Premier League,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth
César Azpilicueta,2019-2020,2019-12-22,Premier League,Matchweek 18,Away,W 2–0,Chelsea,Tottenham
César Azpilicueta,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,L 0–2,Chelsea,Southampton
César Azpilicueta,2019-2020,2019-12-29,Premier League,Matchweek 20,Away,W 2–1,Chelsea,Arsenal
Felipe Anderson,2017-2018,2018-02-22,Europa Lg,Round of 32,Neutral,W 5–1,Lazio,FCSB
Felipe Anderson,2017-2018,2018-02-25,Serie A,Matchweek 26,Away,W 3–0,Lazio,Sassuolo
