state,country,total
Virginia,Frederick County,118
Virginia,Fredericksburg City,42
Virginia,Galax City,11
Virginia,Giles County,4
Virginia,Gloucester County,73
Virginia,Goochland County,23
Tennessee,Anderson County,56
South Carolina,Richland County,132
South Carolina,Saluda County,4
South Carolina,Spartanburg County,104
South Carolina,Sumter County,47
South Carolina,Union County,7
South Carolina,Williamsburg County,7
South Carolina,York County,84
Virginia,Grayson County,74
Virginia,Greene County,13
Virginia,Greensville County,9
Virginia,Halifax County,26
Virginia,Hampton City,37
Virginia,Hanover County,32
Virginia,Harrisonburg City,33
Virginia,Henrico County,131
Virginia,Henry County,9
Virginia,Hopewell City,5
Virginia,Isle Of Wight County,10
Virginia,James City,51
Virginia,King And Queen County,0
Virginia,King George County,2
Virginia,King William County,3
Virginia,Lancaster County,21
Tennessee,Bedford County,19
Tennessee,Benton County,14
Tennessee,Bledsoe County,5
Tennessee,Blount County,20
Tennessee,Bradley County,32
Tennessee,Campbell County,2
Tennessee,Cannon County,4
Tennessee,Carroll County,6
Tennessee,Carter County,15
Tennessee,Cheatham County,4
Tennessee,Claiborne County,11
Tennessee,Clay County,5
Tennessee,Cocke County,9
Tennessee,Coffee County,20
Tennessee,Crockett County,1
Tennessee,Cumberland County,153
Tennessee,Davidson County,212
Virginia,Loudoun County,74
Virginia,Louisa County,5
Virginia,Lunenburg County,0
Virginia,Lynchburg City,69
Virginia,Madison County,4
Virginia,Manassas City,31
Virginia,Manassas Park City,0
Virginia,Martinsville City,18
Virginia,Mathews County,0
Virginia,Mecklenburg County,304
Virginia,Middlesex County,178
Virginia,Montgomery County,26
Virginia,Nelson County,2
Virginia,New Kent County,0
Virginia,Newport News City,74
Tennessee,Decatur County,12
Tennessee,Dekalb County,11
Tennessee,Dickson County,12
Tennessee,Dyer County,18
Tennessee,Fayette County,16
Tennessee,Fentress County,8
Tennessee,Franklin County,13
Tennessee,Gibson County,28
Tennessee,Giles County,4
Tennessee,Grainger County,7
Tennessee,Greene County,13
Tennessee,Grundy County,10
Tennessee,Hamblen County,30
Tennessee,Hamilton County,24
Tennessee,Hancock County,24
Tennessee,Hardeman County,1
Virginia,Norfolk City,75
Virginia,Northampton County,140
Virginia,Northumberland County,56
Virginia,Nottoway County,6
Virginia,Orange County,75
Virginia,Page County,15
Virginia,Patrick County,6
Virginia,Petersburg City,33
Virginia,Pittsylvania County,5
Virginia,Poquoson City,3
Virginia,Portsmouth City,31
Virginia,Powhatan County,1
Virginia,Prince Edward County,14
Virginia,Prince George County,0
Tennessee,Hardin County,14
Tennessee,Hawkins County,9
Tennessee,Haywood County,7
Tennessee,Henderson County,31
Tennessee,Henry County,9
Tennessee,Hickman County,6
Tennessee,Houston County,14
Tennessee,Humphreys County,8
Tennessee,Jackson County,66
Tennessee,Jefferson County,131
Tennessee,Johnson County,12
Tennessee,Knox County,27
Tennessee,Lauderdale County,35
Tennessee,Lawrence County,55
Tennessee,Lincoln County,15
Tennessee,Loudon County,16
Virginia,Prince William County,74
Virginia,Pulaski County,10
Virginia,Radford County,14
Virginia,Rappahannock County,0
Virginia,Richmond City,110
Virginia,Richmond County,72
Virginia,Roanoke City,63
Virginia,Roanoke County,36
Virginia,Rockbridge County,2
Virginia,Rockingham County,131
Virginia,Russell County,13
Virginia,Salem County,26
Virginia,Scott County,73
Virginia,Shenandoah County,19
Virginia,Smyth County,9
Tennessee,Macon County,5
Tennessee,Madison County,4
Tennessee,Marion County,5
Tennessee,Marshall County,22
Tennessee,Maury County,26
Tennessee,Mcminn County,24
Tennessee,Mcnairy County,7
Tennessee,Meigs County,9
Tennessee,Monroe County,52
Tennessee,Montgomery County,26
Tennessee,Moore County,10
Tennessee,Morgan County,34
Tennessee,Obion County,20
Tennessee,Overton County,5
Tennessee,Perry County,12
Tennessee,Pickett County,6
Tennessee,Polk County,18
Virginia,Southampton County,1
Virginia,Spotsylvania County,30
Virginia,Stafford County,20
Virginia,Staunton City,34
Virginia,Suffolk City,38
Virginia,Surry County,0
Virginia,Sussex County,35
Virginia,Tazewell County,62
Virginia,Virginia Beach City,124
Virginia,Warren County,26
Virginia,Washington County,26
Virginia,Waynesboro City,22
Tennessee,Putnam County,14
Tennessee,Rhea County,12
Tennessee,Roane County,14
Tennessee,Robertson County,8
Tennessee,Rutherford County,67
Tennessee,Scott County,73
Tennessee,Sequatchie County,5
Tennessee,Sevier County,18
Tennessee,Shelby County,30
Tennessee,Smith County,115
Tennessee,Stewart County,4
Tennessee,Sullivan County,29
Tennessee,Sumner County,59
Tennessee,Tipton County,8
Tennessee,Trousdale County,7
Virginia,Westmoreland County,175
Virginia,Williamsburg City,0
Virginia,Winchester City,19
Virginia,Wise County,19
Virginia,Wythe County,16
Virginia,York County,84
Tennessee,Unicoi County,7
Tennessee,Union County,7
Tennessee,Van Buren County,17
Tennessee,Warren County,26
Tennessee,Washington County,26
Tennessee,Wayne County,707
Tennessee,Weakley County,14
Tennessee,White County,7
Tennessee,Williamson County,175
Tennessee,Wilson County,13
Massachusetts,Barnstable County,119
Massachusetts,Berkshire County,87
Massachusetts,Bristol County,211
Massachusetts,Dukes County,10
Massachusetts,Essex County,320
Massachusetts,Franklin County,13
Massachusetts,Hampden County,260
Massachusetts,Hampshire County,57
Massachusetts,Middlesex County,178
Massachusetts,Nantucket County,5
Massachusetts,Norfolk County,320
Massachusetts,Plymouth County,195
Massachusetts,Suffolk County,383
Massachusetts,Worcester County,27
Texas,Anderson County,56
Texas,Andrews County,6
Texas,Angelina County,40
Texas,Aransas County,11
Texas,Archer County,2
Texas,Armstrong County,1
Texas,Atascosa County,15
Texas,Austin County,14
Texas,Bailey County,2
Texas,Bandera County,3
Texas,Bastrop County,20
Texas,Baylor County,3
Texas,Bee County,15
Texas,Bell County,74
Texas,Bexar County,594
Texas,Blanco County,2
Texas,Borden County,0
Texas,Bosque County,13
Texas,Bowie County,52
Texas,Brazoria County,97
Texas,Brazos County,77
Texas,Brewster County,2
Texas,Brown County,26
Texas,Burleson County,2
Texas,Burnet County,20
Texas,Caldwell County,12
Texas,Calhoun County,52
Texas,Callahan County,2
Texas,Cameron County,166
Texas,Camp County,4
Texas,Carson County,0
Texas,Cass County,15
Texas,Castro County,3
Texas,Chambers County,5
Texas,Cherokee County,17
Texas,Childress County,5
Texas,Clay County,5
Texas,Cochran County,1
Texas,Coke County,2
Texas,Coleman County,5
Texas,Collin County,352
Texas,Collingsworth County,4
Texas,Colorado County,11
Texas,Comal County,43
Texas,Comanche County,10
Texas,Concho County,2
Texas,Cooke County,14
Texas,Coryell County,15
Texas,Cottle County,1
Texas,Crane County,2
Texas,Crockett County,1
Texas,Crosby County,4
Texas,Dallam County,5
Texas,Dallas County,1311
Texas,Dawson County,5
Texas,De Witt County,7
Texas,Deaf Smith County,13
Texas,Delta County,3
Texas,Denton County,239
Texas,Dimmit County,4
Texas,Duval County,12
Texas,Eastland County,11
Texas,Ector County,39
Texas,Edwards County,0
Texas,El Paso County,232
Texas,Ellis County,47
Texas,Erath County,21
Texas,Falls County,4
Texas,Fannin County,14
Texas,Fayette County,16
Texas,Fisher County,0
Texas,Floyd County,4
Texas,Fort Bend County,361
Texas,Franklin County,13
Texas,Freestone County,9
Texas,Frio County,7
Texas,Gaines County,4
Texas,Galveston County,100
Texas,Garza County,1
Texas,Gillespie County,21
Texas,Glasscock County,0
Texas,Goliad County,3
Texas,Gonzales County,11
Texas,Gray County,11
Texas,Grayson County,74
Texas,Gregg County,84
Texas,Grimes County,4
Texas,Guadalupe County,24
Texas,Hale County,18
Texas,Hall County,2
Texas,Hamilton County,24
Texas,Hansford County,5
Texas,Hardeman County,1
Texas,Hardin County,14
Texas,Harris County,1620
Texas,Harrison County,20
Texas,Hartley County,0
Texas,Haskell County,3
Texas,Hays County,75
Texas,Hemphill County,3
Texas,Henderson County,31
Texas,Hidalgo County,386
Texas,Hill County,14
Texas,Hockley County,11
Texas,Hood County,26
Texas,Hopkins County,13
Texas,Houston County,14
Texas,Howard County,26
Texas,Hunt County,24
Texas,Hutchinson County,5
Texas,Irion County,0
Texas,Jack County,3
Texas,Jackson County,66
Texas,Jasper County,14
Texas,Jefferson County,131
Texas,Jim Wells County,32
Texas,Johnson County,12
Texas,Jones County,8
Texas,Karnes County,7
Texas,Kaufman County,40
Texas,Kendall County,29
Texas,Kenedy County,0
Texas,Kerr County,29
Texas,Kimble County,3
Texas,Kleberg County,12
Texas,La Salle County,1
Texas,Lamar County,30
Texas,Lamb County,8
Texas,Lampasas County,6
Texas,Lavaca County,18
Texas,Lee County,7
Washington,Adams County,27
Texas,Leon County,3
Texas,Liberty County,22
Texas,Limestone County,10
Texas,Live Oak County,3
Texas,Llano County,12
Texas,Lubbock County,106
Texas,Lynn County,3
Texas,Madison County,4
Texas,Marion County,5
Texas,Martin County,6
Texas,Mason County,3
Texas,Matagorda County,16
Texas,Maverick County,23
Texas,Mcculloch County,4
Texas,Mclennan County,98
Texas,Medina County,16
Washington,Asotin County,10
Washington,Benton County,14
Washington,Chelan County,39
Washington,Clallam County,36
Washington,Clark County,243
Washington,Columbia County,29
Washington,Cowlitz County,39
Washington,Franklin County,13
Washington,Garfield County,35
Washington,Grant County,14
Washington,Grays Harbor County,25
Washington,Island County,22
Washington,Jefferson County,131
Washington,King County,1133
Washington,Kitsap County,106
Washington,Kittitas County,15
Texas,Menard County,1
Texas,Midland County,33
Texas,Milam County,7
Texas,Mills County,2
Texas,Mitchell County,5
Texas,Montague County,10
Texas,Montgomery County,26
Texas,Moore County,10
Texas,Morris County,6
Texas,Nacogdoches County,27
Texas,Navarro County,25
Texas,Newton County,5
Texas,Nolan County,7
Texas,Nueces County,166
Texas,Ochiltree County,4
Texas,Oldham County,0
Texas,Orange County,75
Washington,Klickitat County,4
Washington,Lewis County,4
Washington,Lincoln County,15
Washington,Mason County,3
Washington,Pend Oreille County,3
Washington,Pierce County,303
Washington,Skagit County,44
Washington,Skamania County,2
Washington,Snohomish County,296
Washington,Spokane County,247
Washington,Stevens County,16
Washington,Thurston County,95
Washington,Walla Walla County,33
Washington,Whatcom County,78
Washington,Whitman County,29
Washington,Yakima County,90
Texas,Palo Pinto County,7
Texas,Panola County,10
Texas,Parker County,34
Texas,Parmer County,5
Texas,Pecos County,5
Texas,Polk County,18
Texas,Potter County,65
Texas,Rains County,3
Texas,Randall County,27
Texas,Reagan County,1
Texas,Red River County,6
Texas,Reeves County,3
Texas,Refugio County,5
Texas,Robertson County,8
Texas,Rockwall County,37
Texas,Runnels County,6
Texas,Rusk County,18
Texas,Sabine County,4
Texas,San Augustine County,5
Texas,San Jacinto County,1
Texas,San Patricio County,27
Texas,San Saba County,3
Texas,Schleicher County,2
Texas,Scurry County,10
Texas,Shackelford County,1
Texas,Shelby County,30
Texas,Sherman County,1
Texas,Smith County,115
Texas,Somervell County,2
Texas,Starr County,22
Texas,Stephens County,4
Texas,Sterling County,1
Texas,Stonewall County,1
Texas,Sutton County,1
Texas,Swisher County,4
Texas,Tarrant County,675
Texas,Taylor County,56
Texas,Terry County,7
Texas,Throckmorton County,4
Texas,Titus County,18
Texas,Tom Green County,44
Texas,Travis County,308
Texas,Trinity County,3
Texas,Tyler County,9
Texas,Upshur County,12
Texas,Upton County,1
Texas,Uvalde County,14
Texas,Val Verde County,17
Texas,Van Zandt County,20
Texas,Victoria County,46
Texas,Walker County,19
Texas,Waller County,10
Texas,Ward County,3
Texas,Washington County,26
Texas,Webb County,91
Texas,Wharton County,25
Texas,Wheeler County,3
Texas,Wichita County,70
Texas,Wilbarger County,9
Texas,Willacy County,6
Texas,Williamson County,175
Texas,Wilson County,13
Texas,Winkler County,0
Texas,Wise County,19
Texas,Wood County,21
Texas,Yoakum County,1
Texas,Young County,19
Texas,Zapata County,4
Texas,Zavala County,5
Pennsylvania,Adams County,27
Pennsylvania,Allegheny County,765
Pennsylvania,Armstrong County,1
Pennsylvania,Beaver County,71
Pennsylvania,Bedford County,19
Pennsylvania,Berks County,160
Pennsylvania,Blair County,93
Pennsylvania,Bradford County,3
Pennsylvania,Bucks County,258
Pennsylvania,Butler County,131
Pennsylvania,Cambria County,89
Pennsylvania,Carbon County,14
Pennsylvania,Centre County,68
Pennsylvania,Chester County,9
Pennsylvania,Clarion County,17
Pennsylvania,Clearfield County,43
Pennsylvania,Clinton County,28
Pennsylvania,Columbia County,29
Pennsylvania,Crawford County,29
Pennsylvania,Cumberland County,153
Pennsylvania,Dauphin County,110
Pennsylvania,Delaware County,64
Pennsylvania,Elk County,18
Pennsylvania,Erie County,334
Pennsylvania,Fayette County,16
Pennsylvania,Forest County,5
Pennsylvania,Franklin County,13
Pennsylvania,Greene County,13
Pennsylvania,Huntingdon County,12
Pennsylvania,Indiana County,48
Pennsylvania,Jefferson County,131
Pennsylvania,Juniata County,13
Pennsylvania,Lackawanna County,134
Pennsylvania,Lancaster County,21
Pennsylvania,Lawrence County,55
Pennsylvania,Lebanon County,76
Pennsylvania,Lehigh County,161
Pennsylvania,Luzerne County,183
Pennsylvania,Lycoming County,61
Pennsylvania,Mckean County,24
Pennsylvania,Mercer County,94
Pennsylvania,Mifflin County,13
Pennsylvania,Monroe County,52
Pennsylvania,Montgomery County,26
Pennsylvania,Montour County,14
Pennsylvania,Northampton County,140
Pennsylvania,Northumberland County,56
Pennsylvania,Perry County,12
Pennsylvania,Philadelphia County,482
Pennsylvania,Pike County,13
Pennsylvania,Potter County,65
Pennsylvania,Schuylkill County,73
Pennsylvania,Snyder County,16
Pennsylvania,Somerset County,15
Pennsylvania,Sullivan County,29
Pennsylvania,Susquehanna County,22
Pennsylvania,Tioga County,17
Pennsylvania,Union County,7
Pennsylvania,Venango County,26
Pennsylvania,Warren County,26
Pennsylvania,Washington County,26
Pennsylvania,Wayne County,707
Pennsylvania,Westmoreland County,175
Pennsylvania,Wyoming County,13
Pennsylvania,York County,84
Maryland,Allegany County,15
Maryland,Anne Arundel County,182
Maryland,Baltimore City,368
Maryland,Baltimore County,363
Maryland,Calvert County,18
Maryland,Caroline County,14
Maryland,Carroll County,6
Maryland,Cecil County,30
Maryland,Charles County,49
Maryland,Dorchester County,38
Maryland,Frederick County,118
Maryland,Garrett County,10
Maryland,Harford County,74
Maryland,Howard County,26
Maryland,Kent County,276
Maryland,Montgomery County,26
Maryland,Prince Georges County,385
Maryland,Queen Annes County,11
Maryland,Saint Marys County,21
Maryland,Somerset County,15
Maryland,Talbot County,26
Maryland,Washington County,26
Maryland,Wicomico County,51
Maryland,Worcester County,27
Maine,Androscoggin County,59
Maine,Aroostook County,38
Maine,Cumberland County,153
Maine,Franklin County,13
Maine,Hancock County,24
Maine,Kennebec County,58
Maine,Knox County,27
Maine,Lincoln County,15
Maine,Oxford County,29
Maine,Penobscot County,81
Maine,Piscataquis County,8
Maine,Sagadahoc County,24
Maine,Somerset County,15
Maine,Waldo County,17
Maine,Washington County,26
Maine,York County,84
Louisiana,Acadia Parish,18
Louisiana,Allen Parish,13
Kentucky,Adair County,6
Kentucky,Allen County,93
Kentucky,Anderson County,56
Kentucky,Barren County,13
Louisiana,Ascension Parish,18
Louisiana,Assumption Parish,1
Louisiana,Avoyelles Parish,22
Louisiana,Beauregard Parish,8
Louisiana,Bienville Parish,10
Louisiana,Bossier Parish,33
Louisiana,Caddo Parish,122
Louisiana,Calcasieu Parish,62
Louisiana,Caldwell Parish,2
Louisiana,Cameron Parish,0
Louisiana,Catahoula Parish,4
Louisiana,Claiborne Parish,5
Louisiana,Concordia Parish,8
Kentucky,Bell County,74
Kentucky,Boone County,5
Kentucky,Bourbon County,12
Kentucky,Boyd County,25
Kentucky,Boyle County,16
Kentucky,Breckinridge County,8
Kentucky,Bullitt County,8
Kentucky,Calloway County,10
Louisiana,De Soto Parish,7
Louisiana,East Baton Rouge Parish,168
Louisiana,East Feliciana Parish,5
Louisiana,Evangeline Parish,20
Louisiana,Franklin Parish,12
Louisiana,Grant Parish,5
Louisiana,Iberia Parish,32
Louisiana,Iberville Parish,5
Louisiana,Jackson Parish,8
Louisiana,Jefferson Davis Parish,13
Kentucky,Campbell County,2
Kentucky,Carroll County,6
Kentucky,Carter County,15
Kentucky,Christian County,31
Kentucky,Clark County,243
Kentucky,Daviess County,45
Kentucky,Fayette County,16
Kentucky,Franklin County,13
Kentucky,Gallatin County,1
Kentucky,Grant County,14
Kentucky,Grayson County,74
Kentucky,Greenup County,11
Kentucky,Hancock County,24
Kentucky,Hardin County,14
Hawaii,Hawaii County,53
Hawaii,Honolulu County,210
Hawaii,Kauai County,15
Hawaii,Maui County,33
Louisiana,Jefferson Parish,126
Louisiana,La Salle Parish,4
Louisiana,Lafayette Parish,95
Louisiana,Lafourche Parish,21
Louisiana,Lincoln Parish,17
Louisiana,Livingston Parish,22
Louisiana,Madison Parish,12
Louisiana,Morehouse Parish,17
Louisiana,Natchitoches Parish,18
Louisiana,Orleans Parish,114
Kentucky,Harrison County,20
Kentucky,Henderson County,31
Kentucky,Henry County,9
Kentucky,Hopkins County,13
Kentucky,Jefferson County,131
Kentucky,Jessamine County,17
Kentucky,Kenton County,56
Kentucky,Larue County,4
Kentucky,Laurel County,10
Kentucky,Lincoln County,15
Kentucky,Logan County,29
Kentucky,Madison County,4
Kentucky,Marion County,5
District Of Columbia,District Of Columbia County,210
Louisiana,Ouachita Parish,86
Louisiana,Plaquemines Parish,1
Louisiana,Pointe Coupee Parish,5
Louisiana,Rapides Parish,62
Louisiana,Red River Parish,4
Louisiana,Richland Parish,12
Louisiana,Sabine Parish,6
Louisiana,Saint Bernard Parish,7
Louisiana,Saint Charles Parish,7
Louisiana,Saint Helena Parish,1
Louisiana,Saint James Parish,3
Louisiana,Saint Landry Parish,32
Kentucky,Mccracken County,37
Kentucky,Meade County,5
Kentucky,Mercer County,94
Kentucky,Monroe County,52
Kentucky,Muhlenberg County,7
Kentucky,Nelson County,2
Kentucky,Ohio County,1
Kentucky,Oldham County,0
Kentucky,Owen County,3
Louisiana,Saint Martin Parish,8
Louisiana,Saint Mary Parish,12
Louisiana,Saint Tammany Parish,77
Louisiana,St John The Baptist Parish,10
Louisiana,Tangipahoa Parish,51
Louisiana,Terrebonne Parish,24
Louisiana,Union Parish,9
Louisiana,Vermilion Parish,15
Louisiana,Vernon Parish,9
Louisiana,Washington Parish,10
Louisiana,Webster Parish,23
Louisiana,West Baton Rouge Parish,2
Louisiana,West Carroll Parish,4
Kentucky,Pendleton County,3
Kentucky,Pike County,13
Kentucky,Pulaski County,10
Kentucky,Scott County,73
Kentucky,Shelby County,30
Kentucky,Spencer County,5
Kentucky,Taylor County,56
Kentucky,Trimble County,2
Kentucky,Warren County,26
Kentucky,Washington County,26
Kentucky,Whitley County,5
Idaho,Ada County,215
Idaho,Adams County,27
Idaho,Bannock County,49
Idaho,Benewah County,3
Louisiana,West Feliciana Parish,2
Louisiana,Winn Parish,6
Kentucky,Woodford County,16
Idaho,Boise County,1
Idaho,Bonner County,20
Idaho,Bonneville County,52
Idaho,Canyon County,69
Idaho,Clearwater County,5
Idaho,Elmore County,15
Idaho,Gem County,10
Idaho,Idaho County,6
Idaho,Kootenai County,85
Idaho,Latah County,15
Idaho,Minidoka County,6
Idaho,Nez Perce County,30
Delaware,Kent County,18
Delaware,New Castle County,209
Delaware,Sussex County,35
Idaho,Owyhee County,3
Idaho,Payette County,14
Idaho,Shoshone County,12
Idaho,Twin Falls County,46
Idaho,Valley County,2
Idaho,Washington County,26
Kansas,Anderson County,21
Kansas,Atchison County,12
Kansas,Barton County,18
Kansas,Brown County,22
Kansas,Butler County,93
Kansas,Chautauqua County,66
Kansas,Cherokee County,63
Kansas,Clay County,65
Kansas,Cloud County,10
Kansas,Cowley County,29
Kansas,Crawford County,50
Kansas,Dickinson County,16
Kansas,Douglas County,78
Kansas,Elk County,18
Kansas,Ellsworth County,4
Kansas,Finney County,16
Kansas,Franklin County,6
Kansas,Geary County,10
Kansas,Greenwood County,29
Kansas,Harper County,2
Kansas,Harvey County,36
Kansas,Jackson County,65
Kansas,Jefferson County,35
Kansas,Johnson County,4
Kansas,Kingman County,3
Kansas,Labette County,17
Kansas,Leavenworth County,18
Kansas,Lincoln County,15
Kansas,Linn County,14
Kansas,Lyon County,9
Kansas,Marion County,5
Kansas,Marshall County,21
Kansas,Mcpherson County,22
Kansas,Miami County,21
Kansas,Mitchell County,4
Kansas,Montgomery County,15
Kansas,Morris County,167
Kansas,Nemaha County,12
Kansas,Neosho County,17
Kansas,Osage County,6
Kansas,Ottawa County,89
Kansas,Phillips County,9
Kansas,Pottawatomie County,30
Kansas,Pratt County,9
Kansas,Reno County,44
Kansas,Republic County,4
Kansas,Rice County,9
Kansas,Riley County,22
Kansas,Saline County,16
Kansas,Sedgwick County,255
Kansas,Shawnee County,90
Kansas,Sumner County,59
Kansas,Wabaunsee County,3
Kansas,Washington County,18
Kansas,Wilson County,35
Kansas,Wyandotte County,55
Colorado,Adams County,27
Colorado,Alamosa County,13
Colorado,Arapahoe County,298
Colorado,Boulder County,112
Colorado,BROOMFIELD County,24
Colorado,Chaffee County,9
Colorado,Clear Creek County,0
Colorado,Delta County,3
Colorado,Denver County,335
Colorado,Douglas County,18
Colorado,Eagle County,4
Colorado,El Paso County,232
Connecticut,Fairfield County,8
Connecticut,Hartford County,429
Connecticut,Litchfield County,89
Colorado,Elbert County,4
Colorado,Fremont County,22
Colorado,Garfield County,35
Colorado,Gilpin County,0
Colorado,Grand County,2
Colorado,Gunnison County,6
Colorado,Jefferson County,131
Colorado,La Plata County,18
Colorado,Larimer County,133
Connecticut,Middlesex County,178
Connecticut,New Haven County,356
Connecticut,New London County,115
Connecticut,Tolland County,43
Connecticut,Windham County,47
Colorado,Logan County,29
Colorado,Mesa County,71
Colorado,Montezuma County,12
Colorado,Montrose County,21
Colorado,Morgan County,34
Colorado,Otero County,11
Colorado,Park County,17
Colorado,Pueblo County,62
Colorado,Routt County,9
Colorado,Summit County,270
Colorado,Teller County,4
Colorado,Weld County,82
Georgia,Appling County,7
Georgia,Baldwin County,17
Georgia,Banks County,5
Georgia,Barrow County,16
Georgia,Bartow County,25
Georgia,Bibb County,105
Georgia,Bleckley County,3
Georgia,Bryan County,17
Georgia,Bulloch County,22
Georgia,Burke County,38
Georgia,Butts County,15
Indiana,Adams County,27
Indiana,Allen County,93
Indiana,Bartholomew County,33
Indiana,Benton County,14
Indiana,Blackford County,8
Georgia,Calhoun County,34
Georgia,Candler County,5
Georgia,Carroll County,6
Georgia,Catoosa County,14
Georgia,Chatham County,20
Georgia,Chattahoochee County,0
Georgia,Chattooga County,8
Georgia,Cherokee County,63
Georgia,Clarke County,12
Georgia,Clayton County,60
Georgia,Cobb County,246
Georgia,Colquitt County,21
Indiana,Boone County,5
Indiana,Brown County,26
Indiana,Carroll County,6
Indiana,Cass County,15
Indiana,Clark County,243
Indiana,Clay County,5
Indiana,Clinton County,28
Indiana,Crawford County,29
Indiana,Daviess County,45
Indiana,De Kalb County,22
Indiana,Dearborn County,20
Indiana,Decatur County,12
Indiana,Delaware County,64
Iowa,Adair County,6
Georgia,Columbia County,42
Georgia,Cook County,1813
Georgia,Coweta County,30
Georgia,Crawford County,50
Georgia,Crisp County,12
Georgia,Dawson County,5
Georgia,Decatur County,7
Georgia,Dekalb County,37
Georgia,Dodge County,62
Georgia,Dooly County,5
Georgia,Dougherty County,34
Indiana,Dubois County,39
Indiana,Elkhart County,56
Indiana,Fayette County,16
Indiana,Floyd County,4
Indiana,Fountain County,3
Indiana,Franklin County,13
Indiana,Fulton County,16
Indiana,Gibson County,28
Indiana,Grant County,14
Indiana,Greene County,13
Indiana,Hamilton County,24
Indiana,Hancock County,24
Iowa,Adams County,27
Iowa,Appanoose County,11
Iowa,Audubon County,4
Iowa,Benton County,14
Iowa,Black Hawk County,74
Iowa,Boone County,5
Iowa,Bremer County,19
Iowa,Buchanan County,8
Iowa,Buena Vista County,18
Iowa,Butler County,131
Iowa,Calhoun County,52
Georgia,Douglas County,78
Georgia,Early County,2
Georgia,Effingham County,3
Georgia,Elbert County,8
Georgia,Emanuel County,11
Georgia,Evans County,6
Georgia,Fannin County,5
Georgia,Fayette County,7
Georgia,Floyd County,4
Georgia,Forsyth County,34
Georgia,Franklin County,6
Georgia,Fulton County,22
Indiana,Harrison County,20
Indiana,Hendricks County,56
Indiana,Henry County,9
Indiana,Howard County,26
Indiana,Huntington County,18
Indiana,Jackson County,66
Indiana,Jasper County,14
Indiana,Jay County,5
Indiana,Jefferson County,131
Indiana,Jennings County,5
Indiana,Johnson County,12
Indiana,Knox County,27
Indiana,Kosciusko County,26
Indiana,La Porte County,35
Iowa,Carroll County,6
Iowa,Cass County,15
Iowa,Cedar County,6
Iowa,Cerro Gordo County,29
Iowa,Cherokee County,17
Iowa,Chickasaw County,9
Iowa,Clarke County,12
Iowa,Clay County,5
Iowa,Clayton County,18
Iowa,Clinton County,28
Iowa,Crawford County,29
Iowa,Dallas County,1311
Iowa,Davis County,93
Iowa,Decatur County,12
Georgia,Gilmer County,4
Georgia,Glascock County,1
Georgia,Glynn County,34
Georgia,Gordon County,11
Georgia,Greene County,17
Georgia,Gwinnett County,260
Georgia,Habersham County,3
Georgia,Hall County,63
Georgia,Hancock County,23
Georgia,Haralson County,8
Georgia,Harris County,1615
Georgia,Hart County,8
Georgia,Heard County,3
Georgia,Henry County,40
Indiana,Lagrange County,7
Indiana,Lake County,168
Indiana,Lawrence County,55
Indiana,Madison County,4
Indiana,Marion County,5
Indiana,Marshall County,22
Indiana,Martin County,6
Indiana,Miami County,44
Indiana,Monroe County,52
Indiana,Montgomery County,26
Indiana,Morgan County,34
Iowa,Delaware County,64
Iowa,Des Moines County,26
Iowa,Dickinson County,14
Iowa,Dubuque County,48
Iowa,Emmet County,19
Iowa,Fayette County,16
Iowa,Floyd County,4
Iowa,Franklin County,13
Iowa,Fremont County,22
Iowa,Greene County,13
Iowa,Grundy County,10
Iowa,Guthrie County,12
Iowa,Hamilton County,24
Iowa,Hancock County,24
Georgia,Houston County,40
Georgia,Jackson County,65
Georgia,Jasper County,19
Georgia,Jefferson County,35
Georgia,Jenkins County,1
Georgia,Johnson County,4
Georgia,Jones County,31
Georgia,Lamar County,30
Georgia,Laurens County,19
Georgia,Liberty County,22
Indiana,Newton County,5
Indiana,Noble County,9
Indiana,Ohio County,1
Indiana,Orange County,75
Indiana,Owen County,3
Indiana,Parke County,3
Indiana,Perry County,12
Indiana,Pike County,13
Indiana,Porter County,63
Indiana,Posey County,6
Indiana,Pulaski County,10
Indiana,Putnam County,14
Iowa,Hardin County,14
Iowa,Harrison County,20
Iowa,Henry County,9
Iowa,Howard County,26
Iowa,Humboldt County,36
Iowa,Ida County,15
Iowa,Iowa County,12
Iowa,Jackson County,66
Iowa,Jasper County,14
Iowa,Jefferson County,131
Iowa,Johnson County,12
Florida,Alachua County,56
Georgia,Long County,1
Georgia,Lowndes County,30
Georgia,Lumpkin County,10
Georgia,Macon County,5
Georgia,Madison County,81
Georgia,Marion County,5
Georgia,Mcduffie County,10
Georgia,Meriwether County,5
Indiana,Randolph County,8
Indiana,Ripley County,12
Indiana,Rush County,8
Indiana,Scott County,73
Indiana,Shelby County,30
Indiana,Spencer County,5
Indiana,St Joseph County,108
Indiana,Starke County,6
Indiana,Steuben County,10
Iowa,Jones County,8
Iowa,Keokuk County,13
Iowa,Kossuth County,13
Iowa,Lee County,7
Iowa,Linn County,118
Iowa,Louisa County,5
Iowa,Lucas County,262
Iowa,Lyon County,7
Florida,Baker County,4
Florida,Bay County,50
Florida,Bradford County,3
Florida,Brevard County,249
Florida,Broward County,687
Florida,Calhoun County,52
Florida,Charlotte County,75
Florida,Citrus County,62
Florida,Clay County,5
Georgia,Monroe County,14
Georgia,Montgomery County,15
Georgia,Morgan County,34
