state,country,total
Oklahoma,Jackson County,66
Oklahoma,Jefferson County,131
Oklahoma,Johnston County,12
Oklahoma,Kay County,27
Oklahoma,Kingfisher County,11
Oklahoma,Kiowa County,14
Oklahoma,Latimer County,9
Oklahoma,Le Flore County,28
Oklahoma,Lincoln County,15
Oklahoma,Logan County,29
Oklahoma,Love County,4
New Jersey,Atlantic County,104
New Jersey,Bergen County,262
Mississippi,Newton County,5
Mississippi,Noxubee County,2
Mississippi,Oktibbeha County,14
Mississippi,Panola County,10
Mississippi,Pearl River County,9
Mississippi,Perry County,12
Mississippi,Pike County,13
Mississippi,Pontotoc County,10
Mississippi,Prentiss County,7
Mississippi,Quitman County,2
Mississippi,Rankin County,34
North Carolina,Cherokee County,17
North Carolina,Chowan County,10
North Carolina,Clay County,5
North Carolina,Cleveland County,99
North Carolina,Columbus County,25
North Carolina,Craven County,49
North Carolina,Cumberland County,153
Oklahoma,Major County,5
Oklahoma,Marshall County,22
Oklahoma,Mayes County,19
Oklahoma,Mcclain County,9
Oklahoma,Mccurtain County,19
Oklahoma,Mcintosh County,8
Oklahoma,Murray County,7
Oklahoma,Muskogee County,52
Oklahoma,Noble County,9
Oklahoma,Nowata County,4
Oklahoma,Okfuskee County,6
Oklahoma,Oklahoma County,345
Oklahoma,Okmulgee County,23
Oklahoma,Osage County,5
Oklahoma,Ottawa County,89
Oklahoma,Pawnee County,2
New Jersey,Burlington County,184
New Jersey,Camden County,169
New Jersey,Cape May County,41
New Jersey,Cumberland County,153
New Jersey,Essex County,320
New Jersey,Gloucester County,73
New Jersey,Hudson County,119
New Jersey,Hunterdon County,31
New Jersey,Mercer County,94
New Jersey,Middlesex County,178
New Jersey,Monmouth County,275
New Jersey,Morris County,6
Mississippi,Scott County,73
Mississippi,Sharkey County,2
Mississippi,Simpson County,10
Mississippi,Smith County,115
Mississippi,Stone County,6
Mississippi,Sunflower County,21
Mississippi,Tate County,4
Mississippi,Tippah County,7
Mississippi,Tishomingo County,8
Mississippi,Tunica County,4
Mississippi,Union County,7
Mississippi,Walthall County,5
Mississippi,Warren County,26
Mississippi,Washington County,26
Mississippi,Wayne County,707
North Carolina,Dare County,9
North Carolina,Davidson County,212
North Carolina,Davie County,15
North Carolina,Duplin County,25
North Carolina,Durham County,100
North Carolina,Edgecombe County,37
North Carolina,Forsyth County,34
North Carolina,Franklin County,13
North Carolina,Gaston County,80
North Carolina,Gates County,4
North Carolina,Granville County,13
North Carolina,Greene County,13
Oklahoma,Payne County,27
Oklahoma,Pittsburg County,37
Oklahoma,Pontotoc County,10
Oklahoma,Pottawatomie County,30
Oklahoma,Pushmataha County,9
Oklahoma,Roger Mills County,0
Oklahoma,Rogers County,18
Oklahoma,Seminole County,97
Oklahoma,Sequoyah County,29
Oklahoma,Stephens County,4
Oklahoma,Texas County,13
Oklahoma,Tillman County,5
Oklahoma,Tulsa County,292
Oklahoma,Wagoner County,7
Oklahoma,Washington County,26
New Jersey,Ocean County,199
New Jersey,Passaic County,138
New Jersey,Salem County,26
New Jersey,Somerset County,15
New Jersey,Sussex County,35
New Jersey,Union County,7
New Jersey,Warren County,26
Mississippi,Webster County,5
Mississippi,Winston County,9
Mississippi,Yalobusha County,2
Mississippi,Yazoo County,13
North Carolina,Guilford County,196
North Carolina,Halifax County,26
North Carolina,Harnett County,38
North Carolina,Haywood County,7
North Carolina,Henderson County,31
North Carolina,Hertford County,13
North Carolina,Hoke County,11
North Carolina,Hyde County,3
North Carolina,Iredell County,62
North Carolina,Jackson County,66
North Carolina,Johnston County,12
North Carolina,Jones County,8
North Carolina,Lee County,7
North Carolina,Lenoir County,43
North Carolina,Lincoln County,15
Oklahoma,Washita County,3
Oklahoma,Woods County,6
Oklahoma,Woodward County,13
North Carolina,Macon County,5
North Carolina,Madison County,4
North Carolina,Martin County,6
North Carolina,Mcdowell County,23
North Carolina,Mecklenburg County,304
North Carolina,Mitchell County,5
North Carolina,Montgomery County,26
North Carolina,Moore County,10
North Carolina,Nash County,29
North Carolina,New Hanover County,78
North Carolina,Northampton County,140
North Carolina,Onslow County,33
North Carolina,Orange County,75
North Carolina,Pamlico County,4
North Carolina,Pasquotank County,20
North Carolina,Pender County,14
North Carolina,Perquimans County,10
North Carolina,Person County,20
North Carolina,Pitt County,57
North Carolina,Polk County,18
North Carolina,Randolph County,8
North Carolina,Richmond County,72
North Carolina,Robeson County,56
North Carolina,Rockingham County,131
North Carolina,Rowan County,55
North Carolina,Rutherford County,67
North Carolina,Sampson County,19
North Carolina,Scotland County,20
North Carolina,Stanly County,25
North Carolina,Stokes County,17
North Carolina,Surry County,0
North Carolina,Swain County,4
North Carolina,Transylvania County,16
North Carolina,Tyrrell County,2
North Carolina,Union County,7
North Carolina,Vance County,21
North Carolina,Wake County,301
North Carolina,Warren County,26
North Carolina,Washington County,26
North Carolina,Watauga County,18
North Carolina,Wayne County,707
North Carolina,Wilkes County,27
North Carolina,Wilson County,13
North Carolina,Yadkin County,15
North Carolina,Yancey County,7
New York,Albany County,17
Missouri,Adair County,6
Missouri,Audrain County,24
Missouri,Barry County,13
Missouri,Barton County,10
Missouri,Bates County,7
Missouri,Benton County,14
Minnesota,Aitkin County,9
Minnesota,Anoka County,338
Minnesota,Becker County,23
Minnesota,Beltrami County,25
New York,Bronx County,329
New York,Broome County,53
New York,Cattaraugus County,21
New York,Cayuga County,23
New York,Chautauqua County,66
New York,Chenango County,22
New York,Columbia County,42
Missouri,Bollinger County,9
Missouri,Boone County,5
Missouri,Buchanan County,8
Missouri,Butler County,131
Missouri,Caldwell County,12
Missouri,Callaway County,22
Missouri,Camden County,169
Missouri,Cape Girardeau County,53
Missouri,Carroll County,6
Missouri,Carter County,15
Missouri,Cass County,15
Minnesota,Benton County,14
Minnesota,Big Stone County,10
Minnesota,Blue Earth County,52
Minnesota,Brown County,26
Minnesota,Carlton County,21
Minnesota,Carver County,40
Minnesota,Cass County,15
Minnesota,Chippewa County,10
Minnesota,Chisago County,30
Minnesota,Clay County,5
Minnesota,Clearwater County,5
Minnesota,Cook County,1823
Minnesota,Cottonwood County,16
Minnesota,Crow Wing County,41
Minnesota,Dakota County,14
Minnesota,Dodge County,29
New York,Cortland County,18
New York,Delaware County,63
New York,Dutchess County,99
New York,Erie County,159
New York,Franklin County,6
New York,Fulton County,22
New York,Genesee County,197
New York,Greene County,17
New York,Herkimer County,24
New York,Jefferson County,35
New York,Kings County,391
New York,Livingston County,14
New York,Madison County,81
New York,Monroe County,14
New York,Montgomery County,15
New York,Nassau County,19
New York,New York County,354
New York,Niagara County,72
Missouri,Cedar County,6
Missouri,Chariton County,8
Missouri,Christian County,31
Missouri,Clay County,5
Missouri,Clinton County,28
Missouri,Cole County,44
Missouri,Cooper County,14
Missouri,Crawford County,29
Missouri,Dade County,5
Missouri,Dallas County,1311
Missouri,Daviess County,45
Missouri,Dent County,7
Missouri,Douglas County,18
Missouri,Dunklin County,24
Missouri,Franklin County,13
Missouri,Gasconade County,13
Missouri,Gentry County,9
Minnesota,Douglas County,18
Minnesota,Faribault County,21
Minnesota,Fillmore County,5
Minnesota,Freeborn County,21
Minnesota,Goodhue County,23
Minnesota,Hennepin County,392
Minnesota,Houston County,14
Minnesota,Hubbard County,10
Minnesota,Isanti County,13
Minnesota,Itasca County,36
Minnesota,Jackson County,66
New York,Oneida County,97
New York,Onondaga County,161
New York,Ontario County,41
New York,Orange County,18
New York,Orleans County,11
New York,Oswego County,33
